Item Fat Content	Item Identifier	Item Type	Outlet Establishment Year	Outlet Identifier	Outlet Location Type	Outlet Size	Outlet Type	Total Sales	Rating
Low Fat	NCQ17	Health and Hygiene	1998	OUT027	Tier 3	Medium	Supermarket Type3	158.363	4.3
Low Fat	NCQ41	Health and Hygiene	1998	OUT027	Tier 3	Medium	Supermarket Type3	194.5794	4.3
Low Fat	NCC18	Household	1998	OUT027	Tier 3	Medium	Supermarket Type3	173.2422	4.3
Low Fat	NCH55	Household	1998	OUT027	Tier 3	Medium	Supermarket Type3	125.202	4.3
Low Fat	NCL54	Household	1998	OUT027	Tier 3	Medium	Supermarket Type3	176.9054	4.3
Low Fat	NCO14	Household	1998	OUT027	Tier 3	Medium	Supermarket Type3	46.2086	4.3
Low Fat	NCX54	Household	1998	OUT027	Tier 3	Medium	Supermarket Type3	105.3622	4.3
Low Fat	FDI19	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	242.8512	4.3
Low Fat	FDL43	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	78.467	4.3
Low Fat	FDN15	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	139.518	4.3
Low Fat	FDP15	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	255.433	4.3
Low Fat	FDQ39	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	189.9846	4.3
Low Fat	FDT03	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	185.5608	4.3
Low Fat	FDV51	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	166.1842	4.3
Low Fat	FDY51	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	220.8798	4.3
Low Fat	NCM43	Others	1998	OUT027	Tier 3	Medium	Supermarket Type3	164.321	4.3
Low Fat	FDP33	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	254.2672	4.3
Low Fat	FDV21	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	124.8704	4.3
Low Fat	DRD25	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	113.286	4.3
Low Fat	DRE25	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	94.412	4.3
Low Fat	DRF36	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	190.6846	4.3
Low Fat	DRG13	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	164.7526	4.3
Low Fat	DRK13	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	197.0084	4.3
Regular	FDN23	Breads	1998	OUT027	Tier 3	Medium	Supermarket Type3	145.8444	4.3
Regular	FDS59	Breads	1998	OUT027	Tier 3	Medium	Supermarket Type3	110.157	4.3
Regular	FDZ35	Breads	1998	OUT027	Tier 3	Medium	Supermarket Type3	105.199	4.3
Regular	FDD38	Canned	1998	OUT027	Tier 3	Medium	Supermarket Type3	100.3674	4.3
Regular	FDU01	Canned	1998	OUT027	Tier 3	Medium	Supermarket Type3	184.7924	4.3
Regular	FDC29	Frozen Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	112.7176	4.3
Regular	FDD41	Frozen Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	106.2306	4.3
Regular	FDA08	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	164.2526	4.3
Regular	FDQ07	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	219.8456	4.3
Regular	FDQ31	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	89.7856	4.3
Regular	FDL03	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	197.711	4.3
Regular	FDO27	Meat	1998	OUT027	Tier 3	Medium	Supermarket Type3	95.7752	4.3
Regular	FDJ33	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	121.173	4.3
Regular	FDW09	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	80.2302	4.3
Regular	FDZ21	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	95.641	4.3
Regular	DRZ11	Soft Drinks	1998	OUT027	Tier 3	Medium	Supermarket Type3	123.0388	4.3
Low Fat	FDF32	Fruits and Vegetables	2000	OUT013	Tier 3	High	Supermarket Type1	196.4426	4.2
Regular	FDN22	Snack Foods	2000	OUT013	Tier 3	High	Supermarket Type1	250.8724	4.2
Low Fat	NCS17	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	96.4436	4.2
Low Fat	FDK43	Meat	2000	OUT013	Tier 3	High	Supermarket Type1	126.002	4.2
Low Fat	FDM40	Frozen Foods	2000	OUT013	Tier 3	High	Supermarket Type1	141.5154	4.2
Regular	FDN33	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	95.6436	4.2
Regular	FDW39	Meat	1998	OUT019	Tier 1	Small	Grocery Store	176.937	4.2
Low Fat	DRJ13	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	159.0578	4.2
Low Fat	DRI49	Soft Drinks	2010	OUT046	Tier 1	Small	Supermarket Type1	82.4276	4.2
Low Fat	FDS52	Frozen Foods	2011	OUT010	Tier 3	Small	Grocery Store	101.7016	4.2
Low Fat	NCX54	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	105.1622	4.2
Regular	FDI16	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	53.064	4.2
Regular	FDM22	Snack Foods	2000	OUT013	Tier 3	High	Supermarket Type1	54.764	4.2
Low Fat	NCO17	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	117.944	4.2
Regular	FDK58	Snack Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	100.0016	4.2
Regular	FDA08	Fruits and Vegetables	2015	OUT045	Tier 2	Small	Supermarket Type1	164.1526	4.2
Low Fat	DRC27	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	245.1802	4.2
Regular	FDL58	Snack Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	263.7568	4.2
Low Fat	DRJ51	Dairy	2017	OUT035	Tier 2	Small	Supermarket Type1	229.0668	4.2
Regular	FDY03	Meat	2015	OUT045	Tier 2	Small	Supermarket Type1	110.9202	4.2
Low Fat	FDG29	Frozen Foods	2000	OUT013	Tier 3	High	Supermarket Type1	43.3454	4.2
Low Fat	DRP47	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	250.5382	4.2
Low Fat	FDB53	Frozen Foods	2015	OUT045	Tier 2	Small	Supermarket Type1	147.5392	4.2
Regular	FDM01	Breakfast	2020	OUT017	Tier 2	Small	Supermarket Type1	104.4332	4.2
Low Fat	FDJ22	Snack Foods	1998	OUT019	Tier 1	Small	Grocery Store	190.9504	4.2
Regular	FDR59	Breads	2015	OUT045	Tier 2	Small	Supermarket Type1	260.4594	4.2
Low Fat	FDH27	Dairy	2010	OUT046	Tier 1	Small	Supermarket Type1	142.2128	4.2
Low Fat	NCW53	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	193.8162	4.2
Low Fat	FDW24	Baking Goods	1998	OUT019	Tier 1	Small	Grocery Store	48.9034	4.2
Regular	FDF11	Starchy Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	239.6538	4.2
Low Fat	FDZ27	Dairy	2015	OUT045	Tier 2	Small	Supermarket Type1	51.535	4.2
Regular	FDL51	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	213.4876	4.2
Low Fat	FDX08	Fruits and Vegetables	2010	OUT046	Tier 1	Small	Supermarket Type1	181.4318	4.2
Low Fat	DRH15	Dairy	2000	OUT013	Tier 3	High	Supermarket Type1	45.9428	4.2
Low Fat	FDS26	Dairy	1998	OUT027	Tier 3	Medium	Supermarket Type3	260.5594	4.2
Regular	FDT09	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	132.5284	4.2
Low Fat	FDK41	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	84.9224	4.2
Low Fat	FDN09	Snack Foods	2011	OUT010	Tier 3	Small	Grocery Store	243.9828	4.2
Low Fat	FDK24	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	43.6744	4.2
Regular	FDW31	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	201.0742	4.2
Regular	FDL48	Baking Goods	2000	OUT013	Tier 3	High	Supermarket Type1	49.2034	4.2
Regular	FDB38	Canned	1998	OUT019	Tier 1	Small	Grocery Store	160.692	4.2
Regular	FDW44	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	171.3448	4.2
Low Fat	FDE22	Snack Foods	1998	OUT019	Tier 1	Small	Grocery Store	157.892	4.2
Low Fat	NCU41	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	189.1846	4.2
Low Fat	FDL46	Snack Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	117.7466	4.2
Low Fat	FDB21	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	240.6854	4.2
Low Fat	NCJ42	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	103.0332	4.2
Low Fat	FDJ08	Fruits and Vegetables	2020	OUT017	Tier 2	Medium	Supermarket Type1	191.7846	4.2
Low Fat	FDB16	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	89.2198	4.2
Regular	FDJ55	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	226.8404	4.2
Low Fat	NCZ06	Household	1998	OUT019	Tier 1	Small	Grocery Store	255.2698	4.2
Low Fat	FDM14	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	106.9254	4.2
Low Fat	FDA23	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	100.6016	4.2
Low Fat	FDW49	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	179.8002	4.2
Low Fat	DRK23	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	253.704	4.2
Regular	FDV56	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	106.2596	4.2
Low Fat	DRK39	Dairy	2000	OUT013	Tier 3	High	Supermarket Type1	82.225	4.2
Low Fat	FDM52	Frozen Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	147.2076	4.2
Low Fat	FDH58	Snack Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	115.1834	4.2
Regular	FDL24	Baking Goods	1998	OUT027	Tier 3	Medium	Supermarket Type3	172.3422	4.2
Low Fat	FDF46	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	113.3834	4.2
Low Fat	NCO54	Household	2015	OUT045	Tier 2	Medium	Supermarket Type1	57.2614	4.2
Low Fat	NCR17	Health and Hygiene	2022	OUT018	Tier 3	Medium	Supermarket Type2	116.2492	4.2
Regular	FDU44	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	162.1552	4.2
Regular	FDJ03	Dairy	2000	OUT013	Tier 3	High	Supermarket Type1	49.1692	4.2
Regular	FDZ08	Fruits and Vegetables	1998	OUT027	Tier 3	Medium	Supermarket Type3	84.1592	4.2
Low Fat	NCK42	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	217.6192	4.2
Low Fat	DRK12	Soft Drinks	2011	OUT010	Tier 3	Medium	Grocery Store	32.89	4.2
Low Fat	NCR30	Household	2022	OUT018	Tier 3	Medium	Supermarket Type2	74.4696	4.2
Low Fat	NCZ41	Health and Hygiene	2000	OUT013	Tier 3	High	Supermarket Type1	126.1704	4.2
Regular	FDN52	Frozen Foods	1998	OUT027	Tier 3	Medium	Supermarket Type3	86.9198	4.2
Low Fat	FDA43	Fruits and Vegetables	2000	OUT013	Tier 3	High	Supermarket Type1	196.6794	4.2
Low Fat	NCO18	Household	2015	OUT045	Tier 2	Medium	Supermarket Type1	176.8686	4.2
Low Fat	FDZ33	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	147.6076	4.2
Low Fat	NCY05	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	35.2874	4.2
Low Fat	FDO34	Snack Foods	2011	OUT010	Tier 3	Medium	Grocery Store	165.9816	4.2
Low Fat	FDX20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	227.072	4.2
Low Fat	NCD19	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	53.2614	4.2
Low Fat	FDZ12	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	141.747	4.2
Low Fat	FDA23	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	102.8016	4.2
Low Fat	FDO12	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	194.3452	4.2
Low Fat	FDH24	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	156.6288	4.2
Low Fat	FDW47	Breads	2012	OUT049	Tier 1	Medium	Supermarket Type1	121.5414	4.2
Low Fat	FDW25	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	83.4224	4.2
Low Fat	FDC38	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	132.2942	4.2
Low Fat	FDB15	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	263.7568	4.2
Low Fat	DRC27	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	246.9802	4.2
Low Fat	FDS50	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	219.8114	4.2
Low Fat	DRH51	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	89.3856	4.2
Low Fat	FDB05	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	247.2776	4.2
Low Fat	FDO16	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	83.025	4.2
Low Fat	FDZ04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	62.351	4.2
Low Fat	FDH16	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	88.583	4.2
Low Fat	FDL16	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	47.306	4.2
Low Fat	FDD08	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	36.2506	4.2
Low Fat	FDN31	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	189.253	4.2
Low Fat	FDV43	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	46.2086	4.2
Low Fat	FDI32	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	113.2834	4.2
Low Fat	FDE08	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	146.4734	4.2
Low Fat	DRK11	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	149.9392	4.2
Low Fat	DRP47	Hard Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	252.9382	4.2
Low Fat	NCM53	Health and Hygiene	2012	OUT049	Tier 1	Medium	Supermarket Type1	104.828	4.2
Low Fat	NCV54	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	119.6124	4.2
Low Fat	NCG42	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	130.131	4.2
Low Fat	FDV03	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	154.4314	4.2
Low Fat	FDL15	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	152.6682	4.2
Low Fat	FDL10	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	99.1042	4.2
Low Fat	FDX09	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	175.437	4.2
Low Fat	FDI46	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	253.6724	4.2
Low Fat	FDZ33	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	149.0076	4.2
Low Fat	FDQ22	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	38.9822	4.2
Low Fat	FDV45	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	187.9556	4.2
Low Fat	FDU34	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	122.6046	4.2
Low Fat	FDY46	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	185.0898	4.2
Low Fat	FDP10	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	104.9622	4.2
Low Fat	FDR21	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	178.337	4.2
Low Fat	DRK49	Soft Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	41.5138	4.2
Low Fat	DRE25	Soft Drinks	2012	OUT049	Tier 1	Medium	Supermarket Type1	91.912	4.2
Regular	FDB49	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	98.2384	4.2
Regular	FDV11	Breads	2012	OUT049	Tier 1	Medium	Supermarket Type1	173.6054	4.2
Regular	FDR59	Breads	2012	OUT049	Tier 1	Medium	Supermarket Type1	263.1594	4.2
Regular	FDV13	Canned	2012	OUT049	Tier 1	Medium	Supermarket Type1	88.0856	4.2
Regular	FDU26	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	120.7782	4.2
Regular	FDA03	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	146.3102	4.2
Regular	FDN28	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	104.099	4.2
Regular	FDI53	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	162.1236	4.2
Regular	FDR28	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	164.921	4.2
Regular	FDF29	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	130.531	4.2
Regular	FDY04	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	161.921	4.2
Regular	FDV19	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	160.9578	4.2
Regular	FDH20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	97.341	4.2
Regular	FDO19	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	50.2034	4.2
Regular	FDU20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	122.1098	4.2
Regular	FDR20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	45.5744	4.2
Regular	FDV20	Fruits and Vegetables	2012	OUT049	Tier 1	Medium	Supermarket Type1	125.9678	4.2
Regular	FDO27	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	94.1752	4.2
Regular	FDX51	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	195.9452	4.2
Regular	FDR27	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	134.4942	4.2
Regular	FDU33	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	46.9402	4.2
Regular	FDC10	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	121.6098	4.2
Regular	FDF11	Starchy Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	240.1538	4.2
Regular	FDE11	Starchy Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	183.7924	4.2
low fat	FDO24	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	156.4604	4.2
low fat	NCD54	Household	2012	OUT049	Tier 1	Medium	Supermarket Type1	144.6786	4.2
Low Fat	FDH33	Snack Foods	1998	OUT019	Tier 1	Small	Grocery Store	44.9428	4.2
Low Fat	FDK24	Baking Goods	1998	OUT019	Tier 1	Small	Grocery Store	46.6744	4.2
Low Fat	FDN60	Baking Goods	1998	OUT019	Tier 1	Small	Grocery Store	157.6604	4.2
Low Fat	FDW36	Baking Goods	1998	OUT019	Tier 1	Small	Grocery Store	107.4622	4.2
Low Fat	FDR23	Breads	1998	OUT019	Tier 1	Small	Grocery Store	175.837	4.2
Low Fat	FDA13	Canned	1998	OUT019	Tier 1	Small	Grocery Store	38.8506	4.2
Low Fat	FDH38	Canned	1998	OUT019	Tier 1	Small	Grocery Store	115.2808	4.2
Low Fat	FDS01	Canned	1998	OUT019	Tier 1	Small	Grocery Store	179.6686	4.2
Low Fat	FDY13	Canned	1998	OUT019	Tier 1	Small	Grocery Store	74.967	4.2
Low Fat	FDL40	Frozen Foods	1998	OUT019	Tier 1	Small	Grocery Store	98.241	4.2
Low Fat	NCK05	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	61.1536	4.2
Low Fat	NCM05	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	266.0226	4.2
Low Fat	NCY29	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	56.293	4.2
Low Fat	NCG30	Household	1998	OUT019	Tier 1	Small	Grocery Store	125.8046	4.2
Low Fat	FDG31	Meat	1998	OUT019	Tier 1	Small	Grocery Store	65.0826	4.2
Low Fat	FDV15	Meat	1998	OUT019	Tier 1	Small	Grocery Store	103.3648	4.2
Low Fat	FDE46	Snack Foods	1998	OUT019	Tier 1	Small	Grocery Store	149.5366	4.2
Low Fat	DRF25	Soft Drinks	1998	OUT019	Tier 1	Small	Grocery Store	36.019	4.2
Low Fat	DRF49	Soft Drinks	1998	OUT019	Tier 1	Small	Grocery Store	112.0518	4.2
Low Fat	DRH37	Soft Drinks	1998	OUT019	Tier 1	Small	Grocery Store	165.2526	4.2
Regular	FDH14	Canned	1998	OUT019	Tier 1	Small	Grocery Store	142.0838	4.2
Regular	FDE51	Dairy	1998	OUT019	Tier 1	Small	Grocery Store	43.4086	4.2
Regular	FDL52	Frozen Foods	1998	OUT019	Tier 1	Small	Grocery Store	39.8506	4.2
Regular	FDY28	Frozen Foods	1998	OUT019	Tier 1	Small	Grocery Store	215.6218	4.2
Regular	FDE56	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	63.2194	4.2
Regular	FDH45	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	42.3796	4.2
Regular	FDH56	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	115.9492	4.2
Regular	FDO56	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	116.3808	4.2
Regular	FDT55	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	155.8946	4.2
Regular	FDY03	Meat	1998	OUT019	Tier 1	Small	Grocery Store	112.6202	4.2
Regular	FDS21	Snack Foods	1998	OUT019	Tier 1	Small	Grocery Store	62.7194	4.2
Low Fat	FDB50	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	79.6986	4.2
Low Fat	NCN30	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	95.741	4.2
Low Fat	FDV15	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	103.3648	4.2
Low Fat	FDZ12	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	144.947	4.2
Low Fat	FDS23	Breads	2010	OUT046	Tier 1	Small	Supermarket Type1	127.0994	4.2
Low Fat	FDR35	Breads	2010	OUT046	Tier 1	Small	Supermarket Type1	198.8742	4.2
Low Fat	FDX13	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	249.1092	4.2
Low Fat	FDG02	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	189.5188	4.2
Low Fat	FDO50	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	91.3804	4.2
Low Fat	FDC28	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	108.6254	4.2
Low Fat	FDH41	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	213.3534	4.2
Low Fat	FDC17	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	211.8928	4.2
Low Fat	FDG40	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	32.8558	4.2
Low Fat	FDG29	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	42.5454	4.2
Low Fat	FDD05	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	122.0098	4.2
Low Fat	FDO32	Fruits and Vegetables	2010	OUT046	Tier 1	Small	Supermarket Type1	45.806	4.2
Low Fat	DRH59	Hard Drinks	2010	OUT046	Tier 1	Small	Supermarket Type1	74.738	4.2
Low Fat	NCM17	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	42.7086	4.2
Low Fat	NCP29	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	63.2168	4.2
Low Fat	NCN41	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	122.373	4.2
Low Fat	NCP17	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	65.6168	4.2
Low Fat	NCA05	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	150.0734	4.2
Low Fat	NCB31	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	261.691	4.2
Low Fat	NCE07	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	142.6154	4.2
Low Fat	NCD19	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	55.1614	4.2
Low Fat	NCP18	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	150.4708	4.2
Low Fat	NCG06	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	257.6646	4.2
Low Fat	NCC30	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	178.7344	4.2
Low Fat	NCI30	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	246.646	4.2
Low Fat	FDS03	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	63.4826	4.2
Low Fat	FDL43	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	76.367	4.2
Low Fat	FDV03	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	156.2314	4.2
Low Fat	NCL31	Others	2010	OUT046	Tier 1	Small	Supermarket Type1	142.747	4.2
Low Fat	FDR58	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	92.3462	4.2
Low Fat	FDF22	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	214.0218	4.2
Low Fat	FDZ10	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	127.102	4.2
Low Fat	FDW45	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	147.7418	4.2
Low Fat	FDN45	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	224.8088	4.2
Low Fat	DRZ24	Soft Drinks	2010	OUT046	Tier 1	Small	Supermarket Type1	120.844	4.2
Regular	FDS36	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	107.957	4.2
Regular	FDJ60	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	166.9184	4.2
Regular	FDB37	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	241.8538	4.2
Regular	FDG38	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	86.4224	4.2
Regular	FDI38	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	207.7638	4.2
Regular	FDI02	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	112.0202	4.2
Regular	FDD38	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	103.5674	4.2
Regular	FDY49	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	163.1184	4.2
Regular	FDE05	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	144.8102	4.2
Regular	FDQ40	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	177.2712	4.2
Regular	FDI16	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	54.564	4.2
Regular	FDV28	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	34.3558	4.2
Regular	FDZ43	Fruits and Vegetables	2010	OUT046	Tier 1	Small	Supermarket Type1	241.7512	4.2
